,transcript_file,speaker_code,transcript_clean,is_grammatical,labels,age
613,TD/dirk2.cha,CAR,good night now.,,,26
614,TD/dirk2.cha,CHI,good night now.,1.0,,26
615,TD/dirk2.cha,CAR,see you later.,,,26
616,TD/dirk2.cha,CHI,see you later.,1.0,,26
617,TD/dirk2.cha,CAR,someone is riding on the horse.,,,26
618,TD/dirk2.cha,CAR,he's rocking.,,,26
619,TD/dirk2.cha,CAR,rock rock.,,,26
620,TD/dirk2.cha,CHI,someone go in the chair.,-1.0,sv_agreement,26
621,TD/dirk2.cha,CAR,someone goes in the chair.,,,26
622,TD/dirk2.cha,CHI,someone go upstairs.,-1.0,sv_agreement,26
623,TD/dirk2.cha,CAR,someone goes upstairs.,,,26
624,TD/dirk2.cha,CHI,man go upstairs.,-1.0,"determiner, sv_agreement",26
625,TD/dirk2.cha,CAR,the man goes upstairs?,,,26
626,TD/dirk2.cha,CHI,lady go upstairs.,-1.0,sv_agreement,26
627,TD/dirk2.cha,CAR,the lady goes upstairs.,,,26
628,TD/dirk2.cha,CHI,all people.,-1.0,"verb, determiner",26
629,TD/dirk2.cha,CAR,all the people?,,,26
630,TD/dirk2.cha,CHI,all people.,-1.0,"verb, determiner",26
631,TD/dirk2.cha,CHI,lady go upstairs.,-1.0,sv_agreement,26
632,TD/dirk2.cha,CAR,who?,,,26
633,TD/dirk2.cha,CHI,a man.,1.0,,26
634,TD/dirk2.cha,CHI,oh this.,1.0,,26
635,TD/dirk2.cha,CAR,how about?,,,26
636,TD/dirk2.cha,CAR,there is a mess in the garage.,,,26
637,TD/dirk2.cha,CAR,let's put the garage door up and get the car out.,,,26
638,TD/dirk2.cha,CAR,then they can go somewhere else car.,,,26
639,TD/dirk2.cha,CAR,car.,,,26
640,TD/dirk2.cha,CAR,here comes the car.,,,26
641,TD/dirk2.cha,CAR,who is going in the car?,,,26
642,TD/dirk2.cha,CHI,this people.,-1.0,determiner,26
643,TD/dirk2.cha,CAR,this people that's the father.,,,26
644,TD/dirk2.cha,CAR,here is another father.,,,26
645,TD/dirk2.cha,CHI,father.,,,26
646,TD/dirk2.cha,CAR,he's going to ride in the car.,,,26
647,TD/dirk2.cha,CAR,he can get one of the cars.,,,26
648,TD/dirk2.cha,CAR,here is one.,,,26
649,TD/dirk2.cha,CAR,two two fathers can ride in here.,,,26
650,TD/dirk2.cha,CAR,Kim and Steph are banging the doors.,,,26
651,TD/dirk2.cha,CAR,where are they gone huh?,,,26
652,TD/dirk2.cha,CHI,someone go.,-1.0,sv_agreement,26
653,TD/dirk2.cha,CHI,go.,,,26
654,TD/dirk2.cha,CAR,somebody goes in there.,,,26
655,TD/dirk2.cha,CAR,here is another car he can use.,,,26
656,TD/dirk2.cha,CAR,oh here is a tractor.,,,26
657,TD/dirk2.cha,CAR,here is the wagon that someone can ride in.,,,26
658,TD/dirk2.cha,CAR,there.,,,26
659,TD/dirk2.cha,CAR,who wants to sit in the wagon?,,,26
660,TD/dirk2.cha,CAR,the boy.,,,26
661,TD/dirk2.cha,CAR,the lady.,,,26
662,TD/dirk2.cha,CHI,the man.,1.0,,26
663,TD/dirk2.cha,CAR,the man.,,,26
664,TD/dirk2.cha,CHI,someone ride in wagon.,-1.0,present_progressive,26
665,TD/dirk2.cha,CAR,someone rides in the wagon.,,,26
666,TD/dirk2.cha,CHI,all people.,-1.0,determiner,26
667,TD/dirk2.cha,CAR,all the people.,,,26
668,TD/dirk2.cha,CAR,is that lamb going to ride the wagon?,,,26
669,TD/dirk2.cha,CAR,the tractor?,,,26
670,TD/dirk2.cha,CAR,here they go.,,,26
671,TD/dirk2.cha,CAR,what?,,,26
672,TD/dirk2.cha,CHI,store.,,,26
673,TD/dirk2.cha,CAR,go to the store?,,,26
674,TD/dirk2.cha,CAR,is this the store?,,,26
675,TD/dirk2.cha,CHI,ya.,,,26
676,TD/dirk2.cha,CAR,by me okay.,,,26
677,TD/dirk2.cha,CAR,the lady goes to the store.,,,26
678,TD/dirk2.cha,CHI,to the store.,1.0,,26
679,TD/dirk2.cha,CAR,man at the store.,,,26
680,TD/dirk2.cha,CHI,ya.,,,26
681,TD/dirk2.cha,CHI,that thing.,0.0,,26
682,TD/dirk2.cha,CAR,that's not a thing.,,,26
683,TD/dirk2.cha,CAR,this is a boy see?,,,26
684,TD/dirk2.cha,CAR,look at his grumpy face.,,,26
685,TD/dirk2.cha,CHI,that thing.,0.0,,26
686,TD/dirk2.cha,CAR,there is a dog over here.,,,26
687,TD/dirk2.cha,CHI,someone ride in here.,-1.0,present_progressive,26
688,TD/dirk2.cha,CAR,someone ride in there.,,,26
689,TD/dirk2.cha,CAR,soon.,,,26
690,TD/dirk2.cha,CAR,oh oh it came apart.,,,26
691,TD/dirk2.cha,CAR,can you fix it?,,,26
692,TD/dirk2.cha,CAR,can you help?,,,26
693,TD/dirk2.cha,CAR,good.,,,26
694,TD/dirk2.cha,CHI,this go right here.,-1.0,sv_agreement,26
695,TD/dirk2.cha,CAR,this goes right here.,,,26
696,TD/dirk2.cha,CAR,good.,,,26
697,TD/dirk2.cha,CHI,lady do that.,-1.0,"determiner, present_progressive",26
698,TD/dirk2.cha,CAR,what lady?,,,26
699,TD/dirk2.cha,CHI,I want.,-1.0,object,26
700,TD/dirk2.cha,CAR,what did the lady?,,,26
701,TD/dirk2.cha,CHI,store.,,,26
702,TD/dirk2.cha,CAR,do you want her by the store?,,,26
703,TD/dirk2.cha,CHI,ya.,,,26
704,TD/dirk2.cha,CAR,what's she going to do now?,,,26
705,TD/dirk2.cha,CHI,go.,,,26
706,TD/dirk2.cha,CAR,go?,,,26
707,TD/dirk2.cha,CHI,go.,,,26
708,TD/dirk2.cha,CAR,where?,,,26
709,TD/dirk2.cha,CHI,here.,,,26
710,TD/dirk2.cha,CAR,what?,,,26
711,TD/dirk2.cha,CAR,oh careful on there.,,,26
712,TD/dirk2.cha,CAR,that makes a loud noise when you put it on there.,,,26
713,TD/dirk2.cha,CAR,okay.,,,26
714,TD/dirk2.cha,CHI,that lady go up there.,-1.0,present_progressive,26
715,TD/dirk2.cha,CAR,this lady goes up there.,,,26
716,TD/dirk2.cha,CAR,careful.,,,26
717,TD/dirk2.cha,CHI,boy lady in there.,-1.0,"determiner, verb",26
718,TD/dirk2.cha,CAR,where is she gone?,,,26
719,TD/dirk2.cha,CAR,where?,,,26
720,TD/dirk2.cha,CHI,peeking out.,-1.0,"subject, auxiliary",26
721,TD/dirk2.cha,CAR,who is peeking out?,,,26
722,TD/dirk2.cha,CHI,people.,,,26
723,TD/dirk2.cha,CAR,people.,,,26
724,TD/dirk2.cha,CHI,all.,,,26
725,TD/dirk2.cha,CHI,people.,,,26
726,TD/dirk2.cha,CAR,all the people?,,,26
727,TD/dirk2.cha,CHI,all the people.,1.0,,26
728,TD/dirk2.cha,CHI,horsie.,,,26
729,TD/dirk2.cha,CAR,horsie goes in there too?,,,26
730,TD/dirk2.cha,CHI,peek out.,0.0,,26
731,TD/dirk2.cha,CAR,peek out.,,,26
732,TD/dirk2.cha,CAR,he is too big to go on the steps.,,,26
733,TD/dirk2.cha,CHI,people.,,,26
734,TD/dirk2.cha,CAR,mhm.,,,26
735,TD/dirk2.cha,CHI,all people.,-1.0,determiner,26
736,TD/dirk2.cha,CAR,yes.,,,26
737,TD/dirk2.cha,CAR,well.,,,26
738,TD/dirk2.cha,CAR,your sister is closing the doors upstairs.,,,26
739,TD/dirk2.cha,CAR,it's too loud.,,,26
740,TD/dirk2.cha,CAR,you have to open the door if you wanna go in.,,,26
741,TD/dirk2.cha,CHI,some people go right there.,1.0,,26
742,TD/dirk2.cha,CAR,some people go right there.,,,26
743,TD/dirk2.cha,CAR,these two go to the airport on a jet.,,,26
744,TD/dirk2.cha,CHI,these people go there.,1.0,,26
745,TD/dirk2.cha,CAR,ya.,,,26
746,TD/dirk2.cha,CAR,no those these.,,,26
747,TD/dirk2.cha,CAR,this one is the stewardess.,,,26
748,TD/dirk2.cha,CAR,can you make it stewardess?,,,26
749,TD/dirk2.cha,CHI,ya.,,,26
750,TD/dirk2.cha,CAR,I'll hold her if you want.,,,26
751,TD/dirk2.cha,CAR,that man drives the gas truck right here.,,,26
752,TD/dirk2.cha,CAR,I have to ask your sister to be quiet again.,,,26
753,TD/dirk2.cha,CAR,you just play with me okay?,,,26
754,TD/dirk2.cha,CHI,what that?,-1.0,auxiliary,26
755,TD/dirk2.cha,CAR,that's a little microphone.,,,26
756,TD/dirk2.cha,CAR,can you say that?,,,26
757,TD/dirk2.cha,CHI,microphone.,,,26
758,TD/dirk2.cha,CAR,very good.,,,26
759,TD/dirk2.cha,CAR,sit down now.,,,26
760,TD/dirk2.cha,CAR,it will make a big loud noise when they sit down.,,,26
761,TD/dirk2.cha,CAR,on the tape.,,,26
762,TD/dirk2.cha,CAR,come on.,,,26
763,TD/dirk2.cha,CHI,Stephie do that.,-1.0,present_progressive,26
764,TD/dirk2.cha,CAR,Stephie did.,,,26
765,TD/dirk2.cha,CAR,what's she doing?,,,26
766,TD/dirk2.cha,CHI,put this on.,0.0,,26
767,TD/dirk2.cha,CAR,put this on?,,,26
768,TD/dirk2.cha,CAR,okay.,,,26
769,TD/dirk2.cha,CAR,stuck on you.,,,26
770,TD/dirk2.cha,CAR,another one.,,,26
771,TD/dirk2.cha,CAR,there is a cow on you.,,,26
772,TD/dirk2.cha,CAR,horsie on you.,,,26
773,TD/dirk2.cha,CAR,and a lamb on you.,,,26
774,TD/dirk2.cha,CAR,pop.,,,26
775,TD/dirk2.cha,CAR,pop.,,,26
776,TD/dirk2.cha,CAR,look at the little circle it made on your leg.,,,26
777,TD/dirk2.cha,CAR,see?,,,26
778,TD/dirk2.cha,CHI,put it on back.,-1.0,preposition,26
779,TD/dirk2.cha,CAR,put it on back?,,,26
780,TD/dirk2.cha,CAR,put it on again?,,,26
781,TD/dirk2.cha,CHI,ya.,,,26
782,TD/dirk2.cha,CAR,pop.,,,26
783,TD/dirk2.cha,CAR,pop.,,,26
784,TD/dirk2.cha,CAR,pop.,,,26
785,TD/dirk2.cha,CHI,do it again.,1.0,,26
786,TD/dirk2.cha,CAR,do it again?,,,26
787,TD/dirk2.cha,CAR,one two three pop.,,,26
788,TD/dirk2.cha,CAR,the lamb fell off.,,,26
789,TD/dirk2.cha,CHI,pop.,,,26
790,TD/dirk2.cha,CAR,put him on your leg again.,,,26
791,TD/dirk2.cha,CAR,put him back.,,,26
792,TD/dirk2.cha,CAR,two.,,,26
793,TD/dirk2.cha,CAR,three.,,,26
794,TD/dirk2.cha,CAR,one two.,,,26
795,TD/dirk2.cha,CHI,two.,,,26
796,TD/dirk2.cha,CHI,three.,,,26
797,TD/dirk2.cha,CAR,good.,,,26
798,TD/dirk2.cha,CAR,okay.,,,26
799,TD/dirk2.cha,CAR,one more time.,,,26
800,TD/dirk2.cha,CAR,one two three.,,,26
801,TD/dirk2.cha,CAR,all up.,,,26
802,TD/dirk2.cha,CHI,all up.,0.0,,26
803,TD/dirk2.cha,CHI,do it again.,1.0,,26
804,TD/dirk2.cha,CAR,one more time.,,,26
805,TD/dirk2.cha,CAR,I do it again.,,,26
806,TD/dirk2.cha,CAR,one two three.,,,26
807,TD/dirk2.cha,CAR,one fell off.,,,26
808,TD/dirk2.cha,CAR,they are looking at you aren't they?,,,26
809,TD/dirk2.cha,CAR,one two.,,,26
810,TD/dirk2.cha,CHI,two.,,,26
811,TD/dirk2.cha,CHI,three.,,,26
812,TD/dirk2.cha,CHI,do it again.,1.0,,26
813,TD/dirk2.cha,CAR,oh you.,,,26
814,TD/dirk2.cha,CAR,you like.,,,26
815,TD/dirk2.cha,CAR,look at these little bumps on you.,,,26
816,TD/dirk2.cha,CAR,okay.,,,26
817,TD/dirk2.cha,CAR,one two three.,,,26
818,TD/dirk2.cha,CHI,again.,,,26
819,TD/dirk2.cha,CHI,pop.,,,26
820,TD/dirk2.cha,CHI,pop.,,,26
821,TD/dirk2.cha,CAR,look at these little circles on your legs where they were stuck.,,,26
822,TD/dirk2.cha,CHI,do it again.,1.0,,26
823,TD/dirk2.cha,CAR,okay.,,,26
824,TD/dirk2.cha,CAR,one two three.,,,26
825,TD/dirk2.cha,CHI,two.,,,26
826,TD/dirk2.cha,CHI,three.,,,26
827,TD/dirk2.cha,CHI,circle on my leg.,-1.0,"verb, determiner",26
828,TD/dirk2.cha,CAR,circles on my leg.,,,26
829,TD/dirk2.cha,CAR,okay.,,,26
830,TD/dirk2.cha,CHI,do it again.,1.0,,26
831,TD/dirk2.cha,CAR,okay.,,,26
832,TD/dirk2.cha,CAR,the cow jumped out.,,,26
833,TD/dirk2.cha,CAR,pop.,,,26
834,TD/dirk2.cha,CAR,pop.,,,26
835,TD/dirk2.cha,CHI,pop.,,,26
836,TD/dirk2.cha,CAR,pop.,,,26
837,TD/dirk2.cha,CAR,is that silly?,,,26
838,TD/dirk2.cha,CAR,you're smiling.,,,26
