,transcript_file,speaker_code,transcript_clean,is_grammatical,labels
8155,Kuczaj/030906.cha,CAR,would we still have had a good time?,,
8156,Kuczaj/030906.cha,CHI,yeah.,,
8157,Kuczaj/030906.cha,CAR,that's good.,,
8158,Kuczaj/030906.cha,CAR,so we don't need candy.,,
8159,Kuczaj/030906.cha,CHI,yeah we do need candy.,1,
8160,Kuczaj/030906.cha,CAR,oh.,,
8161,Kuczaj/030906.cha,CHI,sometimes we do.,1,
8162,Kuczaj/030906.cha,CHI,and sometimes we don't.,1,
8163,Kuczaj/030906.cha,CHI,you can't see me Dad.,1,
8164,Kuczaj/030906.cha,CHI,you can't see me Dad.,1,
8165,Kuczaj/030906.cha,CAR,I sure can't.,,
8166,Kuczaj/030906.cha,CAR,where are you?,,
8167,Kuczaj/030906.cha,CHI,I'm not going to tell you.,1,
8168,Kuczaj/030906.cha,CHI,now you can't see me.,1,
8169,Kuczaj/030906.cha,CHI,don't find me okay?,1,
8170,Kuczaj/030906.cha,CAR,you don't want me to look for you?,,
8171,Kuczaj/030906.cha,CHI,huh?,,
8172,Kuczaj/030906.cha,CAR,you don't want me to look for you?,,
8173,Kuczaj/030906.cha,CHI,no.,,
8174,Kuczaj/030906.cha,CAR,okay Abe what would happen if I never found you?,,
8175,Kuczaj/030906.cha,CHI,then I would be hiding in this sleeping bag.,1,
8176,Kuczaj/030906.cha,CAR,forever and ever?,,
8177,Kuczaj/030906.cha,CHI,yeah until it's nighttime.,1,
8178,Kuczaj/030906.cha,CAR,oh how come you're hiding?,,
8179,Kuczaj/030906.cha,CHI,because I don't want anybody to see me.,1,
8180,Kuczaj/030906.cha,CAR,how come?,,
8181,Kuczaj/030906.cha,CHI,because I'm afraid.,1,
8182,Kuczaj/030906.cha,CAR,of who?,,
8183,Kuczaj/030906.cha,CHI,I'm afraid of you.,1,
8184,Kuczaj/030906.cha,CAR,why?,,
8185,Kuczaj/030906.cha,CHI,because.,,
8186,Kuczaj/030906.cha,CAR,why?,,
8187,Kuczaj/030906.cha,CHI,just because.,1,
8188,Kuczaj/030906.cha,CHI,I'm afraid of the sleeping bag.,1,
8189,Kuczaj/030906.cha,CHI,no I'm mad at the sleeping bag.,1,
8190,Kuczaj/030906.cha,CAR,what?,,
8191,Kuczaj/030906.cha,CHI,I'm mad at the sleeping bag.,1,
8192,Kuczaj/030906.cha,CAR,why?,,
8193,Kuczaj/030906.cha,CHI,because I'm mad at myself.,1,
8194,Kuczaj/030906.cha,CHI,I'm coming out.,1,
8195,Kuczaj/030906.cha,CHI,I'm going back in.,1,
8196,Kuczaj/030906.cha,CAR,back in what?,,
8197,Kuczaj/030906.cha,CHI,back in the sleeping bag.,1,
8198,Kuczaj/030906.cha,CHI,Momma doesn't know where the saw is.,1,
8199,Kuczaj/030906.cha,CHI,and you don't know where my saw is.,1,
8200,Kuczaj/030906.cha,CHI,and I don't know where my saw is.,1,
8201,Kuczaj/030906.cha,CAR,how are we going to build your fort then?,,
8202,Kuczaj/030906.cha,CHI,how about if you get your saw and I drill?,1,
8203,Kuczaj/030906.cha,CAR,we should use my saw and your drill?,,
8204,Kuczaj/030906.cha,CHI,yeah I fell down.,1,
8205,Kuczaj/030906.cha,CHI,I fell down.,1,
8206,Kuczaj/030906.cha,CHI,I fell down.,1,
8207,Kuczaj/030906.cha,CAR,why?,,
8208,Kuczaj/030906.cha,CHI,I wasn't very careful.,1,
8209,Kuczaj/030906.cha,CHI,I'm not doing anything see?,1,
8210,Kuczaj/030906.cha,CAR,well why don't you do something?,,
8211,Kuczaj/030906.cha,CHI,I keep falling down.,1,
8212,Kuczaj/030906.cha,CHI,hey I can't get in this sleeping bag you help me okay?,1,
8213,MacWhinney/021001a.cha,CAR,and Ross and I have been talking a lot about Halloween.,,
8214,MacWhinney/021001a.cha,CAR,do you have anything else to say about Halloween Ross?,,
8215,MacWhinney/021001a.cha,CHI,the Hulk's not for Halloween.,1,
8216,MacWhinney/021001a.cha,CAR,the Hulk's not for Halloween?,,
8217,MacWhinney/021001a.cha,CAR,now what are the what are the ghosts going to bring you?,,
8218,MacWhinney/021001a.cha,CAR,what are the ghosts going to bring?,,
8219,MacWhinney/021001a.cha,CAR,"five, what?",,
8220,MacWhinney/021001a.cha,CAR,what?,,
8221,MacWhinney/021001a.cha,CAR,what do they bring?,,
8222,MacWhinney/021001a.cha,CHI,lego blocks.,1,
8223,MacWhinney/021001a.cha,CAR,lego blocks?,,
8224,MacWhinney/021001a.cha,CAR,no the witch is going to bring you lego blocks.,,
8225,MacWhinney/021001a.cha,CHI,yeah.,,
8226,MacWhinney/021001a.cha,CAR,and what are the ghosts going to bring?,,
8227,MacWhinney/021001a.cha,CHI,and they bring they bring me blockses.,-1,tense_aspect
