,transcript_file,speaker_code,transcript_clean,is_grammatical,note
16997,Thomas/020702.cha,CAR,can you not reach something.,,
16998,Thomas/020702.cha,CAR,you want a ladder to climb right up to the sky.,,
16999,Thomas/020702.cha,CHI,yes.,,
17000,Thomas/020702.cha,CAR,oh dear me.,,
17001,Thomas/020702.cha,CHI,reach the fireworks.,-1.0,
17002,Thomas/020702.cha,CAR,reach the fireworks.,,
17003,Thomas/020702.cha,CHI,yes.,,
17004,Thomas/020702.cha,CHI,"in that window, the light reach.",-1.0,
17005,Thomas/020702.cha,CAR,no.,,
17006,Thomas/020702.cha,CAR,"the thing is, Thomas.",,
17007,Thomas/020702.cha,CAR,you can't touch fireworks.,,
17008,Thomas/020702.cha,CAR,anyway even if you could get a ladder right up to the sky to catch them you mustn't because they're hot.,,
17009,Thomas/020702.cha,CAR,they're made of fire.,,
17010,Thomas/020702.cha,CAR,they're burning.,,
17011,Thomas/020702.cha,CAR,look.,,
17012,Thomas/020702.cha,CAR,a pink one over there.,,
17013,Thomas/020702.cha,CAR,let's just see if there's another one.,,
17014,Thomas/020702.cha,CAR,oh orange green.,,
17015,Thomas/020702.cha,CAR,orange green.,,
17016,Thomas/020702.cha,CAR,you tell me.,,
17017,Thomas/020702.cha,CHI,pink.,,
17018,Thomas/020702.cha,CAR,pink.,,
17019,Thomas/020702.cha,CAR,they were pretty weren't they?,,
17020,Thomas/020702.cha,CHI,a brown too.,-1.0,
17021,Thomas/020702.cha,CAR,brown too.,,
17022,Thomas/020702.cha,CHI,brown light.,-1.0,
17023,Thomas/020702.cha,CHI,got the net done.,-1.0,
17024,Thomas/020702.cha,CAR,pardon.,,
17025,Thomas/020702.cha,CHI,get a net.,0.0,
17026,Thomas/020702.cha,CAR,get a net.,,
17027,Thomas/020702.cha,CHI,yes.,,
17028,Thomas/020702.cha,CAR,oh you wanna catch them now do you?,,
17029,Thomas/020702.cha,CHI,hm.,,
17030,Thomas/020702.cha,CAR,you don't wanna climb up to the sky on a ladder.,,
17031,Thomas/020702.cha,CAR,you wanna catch them as they fall out of the sky.,,
17032,Thomas/020702.cha,CAR,"they'll still be very hot, Thomas.",,
17033,Thomas/020702.cha,CAR,you still couldn't touch them.,,
17034,Thomas/020702.cha,CAR,and anyway all the patterns disappear don't they?,,
17035,Thomas/020702.cha,CHI,yes.,,
17036,Thomas/020702.cha,CAR,that was a crackling.,,
17037,Thomas/020702.cha,CAR,oh look.,,
17038,Thomas/020702.cha,CAR,Fred's outside light has gone on now.,,
17039,Thomas/020702.cha,CHI,another firework I think.,0.0,
17040,Thomas/020702.cha,CAR,another firework you think.,,
17041,Thomas/020702.cha,CHI,"sorry, red one.",-1.0,
17042,Thomas/020702.cha,CHI,not mean to.,-1.0,
17043,Thomas/020702.cha,CAR,"sorry, red one.",,
17044,Thomas/020702.cha,CAR,not mean to.,,
17045,Thomas/020702.cha,CAR,what do you mean?,,
17046,Thomas/020702.cha,CHI,um not reach.,-1.0,
17047,Thomas/020702.cha,CHI,take the ladder from the fire engine.,0.0,
17048,Thomas/020702.cha,CAR,you want the ladder from the fire engine.,,
17049,Thomas/020702.cha,CHI,no.,,
17050,Thomas/020702.cha,CHI,too dark for me.,-1.0,
17051,Thomas/020702.cha,CAR,it is too dark for you inside.,,
17052,Thomas/020702.cha,CAR,but we've got to have the lights off inside to be able to see what's going on outside.,,
17053,Thomas/020702.cha,CAR,well I think now it's teatime and then after tea we'll listen to some more.,,
17054,Thomas/020702.cha,CAR,"it sounds now as if there were some at the back of the house, Thomas.",,
17055,Thomas/020702.cha,CAR,so let's go towards the patio and you can sit in your chair and you can look out of the window there.,,
17056,Thomas/020702.cha,CAR,okay.,,
17057,Thomas/020702.cha,CHI,no reach it.,-1.0,
17058,Thomas/020702.cha,CAR,right.,,
17059,Thomas/020702.cha,CAR,let's put some lights on.,,
17060,Thomas/020702.cha,CHI,oh.,,
17061,Thomas/020702.cha,CHI,uhoh.,,
17062,Thomas/020702.cha,CHI,another red one.,0.0,
17063,Thomas/020702.cha,CHI,another red bang.,0.0,
17064,Thomas/020702.cha,CHI,bang.,,
17065,Thomas/020702.cha,CHI,light on now.,-1.0,
17066,Thomas/020702.cha,CAR,hm.,,
17067,Thomas/020702.cha,CAR,just put the table lamp on.,,
17068,Thomas/020702.cha,CHI,heard a pink one then.,-1.0,
17069,Thomas/020702.cha,CAR,you heard a pink one.,,
17070,Thomas/020702.cha,CHI,yes.,,
17071,Thomas/020702.cha,CHI,see a red one.,-1.0,
17072,Thomas/020702.cha,CHI,pink one.,-1.0,
17073,Thomas/020702.cha,CHI,big bang.,-1.0,
17074,Thomas/020702.cha,CHI,bang.,,
17075,Thomas/020702.cha,CHI,bang.,,
17076,Thomas/020702.cha,CHI,"stop, Daddy.",0.0,
17077,Thomas/020702.cha,CHI,bang.,,
17078,Thomas/020702.cha,CHI,bang.,,
17079,Thomas/020702.cha,CHI,bang.,,
17080,Thomas/020702.cha,CAR,are you telling Daddy what's happening outside?,,
17081,Thomas/020702.cha,CHI,watch.,,
17082,Thomas/020702.cha,CHI,Daddy not awake.,-1.0,
17083,Thomas/020702.cha,CHI,look.,,
17084,Thomas/020702.cha,CAR,did you say Daddy's not awake?,,
17085,Thomas/020702.cha,CAR,"I think he is, Thomas.",,
17086,Thomas/020702.cha,CAR,with you making that noise.,,
17087,Thomas/020702.cha,CAR,right.,,
17088,Thomas/020702.cha,CHI,"sorry, red one.",-1.0,
17089,Thomas/020702.cha,CAR,"it's a shame it's raining, Thomas.",,
17090,Thomas/020702.cha,CAR,because a lot people standing outside watching the fireworks will be getting wet now won't they?,,
17091,Thomas/020702.cha,CHI,um the fire one fire engine.,0.0,
17092,Thomas/020702.cha,CAR,oh that's right.,,
17093,Thomas/020702.cha,CAR,you get your fire engine ready.,,
17094,Thomas/020702.cha,CHI,oh.,,
17095,Thomas/020702.cha,CHI,"sorry, fire engine.",-1.0,
17096,Thomas/020702.cha,CHI,yes please.,1.0,
17097,Thomas/020702.cha,CHI,get a ladder for me reach the firework.,-1.0,
17098,Thomas/020702.cha,CHI,for me.,-1.0,
17099,Thomas/020702.cha,CHI,reach.,,
17100,Thomas/020702.cha,CHI,one Mummy.,-1.0,
17101,Thomas/020702.cha,CHI,one for Thomas.,1.0,
17102,Thomas/020702.cha,CHI,one for Daddy too.,1.0,
17103,Thomas/020702.cha,CAR,you're asking the fireman.,,
17104,Thomas/020702.cha,CHI,too.,,
17105,Thomas/020702.cha,CAR,you're asking the fireman for ladders.,,
17106,Thomas/020702.cha,CAR,one for you.,,
17107,Thomas/020702.cha,CAR,one for Mummy and one for Daddy.,,
17108,Thomas/020702.cha,CHI,yes.,,
