,transcript_file,speaker_code,transcript_clean,is_grammatical,labels,age
16997,Thomas/020702.cha,CAR,can you not reach something.,,,31
16998,Thomas/020702.cha,CAR,you want a ladder to climb right up to the sky.,,,31
16999,Thomas/020702.cha,CHI,yes.,,,31
17000,Thomas/020702.cha,CAR,oh dear me.,,,31
17001,Thomas/020702.cha,CHI,reach the fireworks.,-1.0,"subject, tense_aspect",31
17002,Thomas/020702.cha,CAR,reach the fireworks.,,,31
17003,Thomas/020702.cha,CHI,yes.,,,31
17004,Thomas/020702.cha,CHI,"in that window, the light reach.",-1.0,"subject, other",31
17005,Thomas/020702.cha,CAR,no.,,,31
17006,Thomas/020702.cha,CAR,"the thing is, Thomas.",,,31
17007,Thomas/020702.cha,CAR,you can't touch fireworks.,,,31
17008,Thomas/020702.cha,CAR,anyway even if you could get a ladder right up to the sky to catch them you mustn't because they're hot.,,,31
17009,Thomas/020702.cha,CAR,they're made of fire.,,,31
17010,Thomas/020702.cha,CAR,they're burning.,,,31
17011,Thomas/020702.cha,CAR,look.,,,31
17012,Thomas/020702.cha,CAR,a pink one over there.,,,31
17013,Thomas/020702.cha,CAR,let's just see if there's another one.,,,31
17014,Thomas/020702.cha,CAR,oh orange green.,,,31
17015,Thomas/020702.cha,CAR,orange green.,,,31
17016,Thomas/020702.cha,CAR,you tell me.,,,31
17017,Thomas/020702.cha,CHI,pink.,,,31
17018,Thomas/020702.cha,CAR,pink.,,,31
17019,Thomas/020702.cha,CAR,they were pretty weren't they?,,,31
17020,Thomas/020702.cha,CHI,a brown too.,-1.0,"subject, verb",31
17021,Thomas/020702.cha,CAR,brown too.,,,31
17022,Thomas/020702.cha,CHI,brown light.,-1.0,determiner,31
17023,Thomas/020702.cha,CHI,got the net done.,-1.0,subject,31
17024,Thomas/020702.cha,CAR,pardon.,,,31
17025,Thomas/020702.cha,CHI,get a net.,0.0,,31
17026,Thomas/020702.cha,CAR,get a net.,,,31
17027,Thomas/020702.cha,CHI,yes.,,,31
17028,Thomas/020702.cha,CAR,oh you wanna catch them now do you?,,,31
17029,Thomas/020702.cha,CHI,hm.,,,31
17030,Thomas/020702.cha,CAR,you don't wanna climb up to the sky on a ladder.,,,31
17031,Thomas/020702.cha,CAR,you wanna catch them as they fall out of the sky.,,,31
17032,Thomas/020702.cha,CAR,"they'll still be very hot, Thomas.",,,31
17033,Thomas/020702.cha,CAR,you still couldn't touch them.,,,31
17034,Thomas/020702.cha,CAR,and anyway all the patterns disappear don't they?,,,31
17035,Thomas/020702.cha,CHI,yes.,,,31
17036,Thomas/020702.cha,CAR,that was a crackling.,,,31
17037,Thomas/020702.cha,CAR,oh look.,,,31
17038,Thomas/020702.cha,CAR,Fred's outside light has gone on now.,,,31
17039,Thomas/020702.cha,CHI,another firework I think.,0.0,,31
17040,Thomas/020702.cha,CAR,another firework you think.,,,31
17041,Thomas/020702.cha,CHI,"sorry, red one.",-1.0,determiner,31
17042,Thomas/020702.cha,CHI,not mean to.,-1.0,"subject, auxiliary",31
17043,Thomas/020702.cha,CAR,"sorry, red one.",,,31
17044,Thomas/020702.cha,CAR,not mean to.,,,31
17045,Thomas/020702.cha,CAR,what do you mean?,,,31
17046,Thomas/020702.cha,CHI,um not reach.,-1.0,"subject, auxiliary",31
17047,Thomas/020702.cha,CHI,take the ladder from the fire engine.,0.0,,31
17048,Thomas/020702.cha,CAR,you want the ladder from the fire engine.,,,31
17049,Thomas/020702.cha,CHI,no.,,,31
17050,Thomas/020702.cha,CHI,too dark for me.,-1.0,"subject, verb",31
17051,Thomas/020702.cha,CAR,it is too dark for you inside.,,,31
17052,Thomas/020702.cha,CAR,but we've got to have the lights off inside to be able to see what's going on outside.,,,31
17052,Thomas/020702.cha,CHI,ouch.,,,31
17053,Thomas/020702.cha,CAR,well I think now it's teatime and then after tea we'll listen to some more.,,,31
17054,Thomas/020702.cha,CAR,"it sounds now as if there were some at the back of the house, Thomas.",,,31
17055,Thomas/020702.cha,CAR,so let's go towards the patio and you can sit in your chair and you can look out of the window there.,,,31
17056,Thomas/020702.cha,CAR,okay.,,,31
17057,Thomas/020702.cha,CHI,no reach it.,-1.0,"subject, other",31
17058,Thomas/020702.cha,CAR,right.,,,31
17059,Thomas/020702.cha,CAR,let's put some lights on.,,,31
17060,Thomas/020702.cha,CHI,oh.,,,31
17061,Thomas/020702.cha,CHI,uhoh.,,,31
17062,Thomas/020702.cha,CHI,another red one.,0.0,,31
17063,Thomas/020702.cha,CHI,another red bang.,0.0,,31
17064,Thomas/020702.cha,CHI,bang.,,,31
17065,Thomas/020702.cha,CHI,light on now.,-1.0,"determiner, verb",31
17066,Thomas/020702.cha,CAR,hm.,,,31
17067,Thomas/020702.cha,CAR,just put the table lamp on.,,,31
17068,Thomas/020702.cha,CHI,heard a pink one then.,-1.0,subject,31
17069,Thomas/020702.cha,CAR,you heard a pink one.,,,31
17070,Thomas/020702.cha,CHI,yes.,,,31
17071,Thomas/020702.cha,CHI,see a red one.,-1.0,subject,31
17072,Thomas/020702.cha,CHI,pink one.,-1.0,determiner,31
17073,Thomas/020702.cha,CHI,big bang.,-1.0,determiner,31
17074,Thomas/020702.cha,CHI,bang.,,,31
17075,Thomas/020702.cha,CHI,bang.,,,31
17076,Thomas/020702.cha,CHI,"stop, Daddy.",0.0,,31
17077,Thomas/020702.cha,CHI,bang.,,,31
17078,Thomas/020702.cha,CHI,bang.,,,31
17079,Thomas/020702.cha,CHI,bang.,,,31
17080,Thomas/020702.cha,CAR,are you telling Daddy what's happening outside?,,,31
17081,Thomas/020702.cha,CHI,watch.,,,31
17082,Thomas/020702.cha,CHI,Daddy not awake.,-1.0,verb,31
17083,Thomas/020702.cha,CHI,look.,,,31
17084,Thomas/020702.cha,CAR,did you say Daddy's not awake?,,,31
17085,Thomas/020702.cha,CAR,"I think he is, Thomas.",,,31
17086,Thomas/020702.cha,CAR,with you making that noise.,,,31
17087,Thomas/020702.cha,CAR,right.,,,31
17088,Thomas/020702.cha,CHI,"sorry, red one.",-1.0,determiner,31
17089,Thomas/020702.cha,CAR,"it's a shame it's raining, Thomas.",,,31
17090,Thomas/020702.cha,CAR,because a lot people standing outside watching the fireworks will be getting wet now won't they?,,,31
17091,Thomas/020702.cha,CHI,um the fire one fire engine.,0.0,,31
17092,Thomas/020702.cha,CAR,oh that's right.,,,31
17093,Thomas/020702.cha,CAR,you get your fire engine ready.,,,31
17094,Thomas/020702.cha,CHI,oh.,,,31
17095,Thomas/020702.cha,CHI,"sorry, fire engine.",-1.0,subject,31
17096,Thomas/020702.cha,CHI,yes please.,1.0,,31
17097,Thomas/020702.cha,CHI,get a ladder for me reach the firework.,-1.0,preposition,31
17098,Thomas/020702.cha,CHI,for me.,-1.0,other,31
17099,Thomas/020702.cha,CHI,reach.,,,31
17100,Thomas/020702.cha,CHI,one Mummy.,-1.0,preposition,31
17101,Thomas/020702.cha,CHI,one for Thomas.,1.0,,31
17102,Thomas/020702.cha,CHI,one for Daddy too.,1.0,,31
17103,Thomas/020702.cha,CAR,you're asking the fireman.,,,31
17104,Thomas/020702.cha,CHI,too.,,,31
17105,Thomas/020702.cha,CAR,you're asking the fireman for ladders.,,,31
17106,Thomas/020702.cha,CAR,one for you.,,,31
17107,Thomas/020702.cha,CAR,one for Mummy and one for Daddy.,,,31
17108,Thomas/020702.cha,CHI,yes.,,,31
17109,Thomas/020702.cha,CAR,is that so we can all go up to the sky?,,,31
17110,Thomas/020702.cha,CHI,oh.,,,31
17111,Thomas/020702.cha,CHI,one firework.,0.0,,31
17112,Thomas/020702.cha,CHI,fire.,,,31
17113,Thomas/020702.cha,CHI,one firework not.,-1.0,"verb, object",31
17114,Thomas/020702.cha,CAR,sorry.,,,31
17115,Thomas/020702.cha,CHI,reach the ladder for me.,1.0,,31
17116,Thomas/020702.cha,CHI,reach.,,,31
17117,Thomas/020702.cha,CHI,it's very hot.,1.0,,31
17118,Thomas/020702.cha,CAR,very hot.,,,31
17119,Thomas/020702.cha,CHI,hm.,,,31
17120,Thomas/020702.cha,CAR,it's very hot.,,,31
17121,Thomas/020702.cha,CHI,hm.,,,31
17122,Thomas/020702.cha,CHI,"sorry, firework.",-1.0,"subject, verb, determiner",31
17123,Thomas/020702.cha,CHI,problem.,,,31
17124,Thomas/020702.cha,CHI,a problem.,0.0,,31
17125,Thomas/020702.cha,CHI,problem.,,,31
17126,Thomas/020702.cha,CAR,there's a problem.,,,31
17127,Thomas/020702.cha,CHI,yes.,,,31
17128,Thomas/020702.cha,CAR,"oh what's the problem, Thomas?",,,31
17129,Thomas/020702.cha,CHI,um the fireworks problem.,1.0,,31
17130,Thomas/020702.cha,CAR,there's a firework problem.,,,31
17131,Thomas/020702.cha,CAR,oh do you think there's going to be problems?,,,31
17132,Thomas/020702.cha,CAR,do you think there's going to be problems and we need the fire engine.,,,31
17133,Thomas/020702.cha,CAR,"oh Thomas, quickly.",,,31
17134,Thomas/020702.cha,CAR,"come this way, sweetheart.",,,31
17135,Thomas/020702.cha,CHI,this way.,1.0,,31
17136,Thomas/020702.cha,CHI,come this way.,1.0,,31
17137,Thomas/020702.cha,CAR,come this way.,,,31
17138,Thomas/020702.cha,CAR,oh.,,,31
17139,Thomas/020702.cha,CAR,I think we can hear them rather than see them this way can't we?,,,31
17140,Thomas/020702.cha,CHI,problem.,,,31
17141,Thomas/020702.cha,CHI,problem that way.,-1.0,"determiner, verb",31
17142,Thomas/020702.cha,CHI,problem that way.,-1.0,"determiner, verb",31
17143,Thomas/020702.cha,CAR,there's a problem that way.,,,31
17144,Thomas/020702.cha,CHI,problem.,,,31
17145,Thomas/020702.cha,CHI,no bite the fire engine.,-1.0,"auxiliary, other",31
17146,Thomas/020702.cha,CHI,oh.,,,31
17147,Thomas/020702.cha,CAR,no bite the fire engine.,,,31
17148,Thomas/020702.cha,CAR,I don't think they'll bite the fire engine do you?,,,31
17149,Thomas/020702.cha,CHI,a chip pan.,0.0,,31
17150,Thomas/020702.cha,CHI,chip and the peas.,-1.0,determiner,31
17151,Thomas/020702.cha,CHI,fire.,,,31
17152,Thomas/020702.cha,CAR,are you talking about a chip pan and then you were talking about chips and peas putting the fire out.,,,31
17153,Thomas/020702.cha,CHI,hm hm.,1.0,,31
17154,Thomas/020702.cha,CHI,yes.,,,31
17155,Thomas/020702.cha,CAR,so poor Fireman Sam as well as being busy putting bonfires out is he having to deal with a chip pan fire like the one that Aunty Mabel and Pippin had.,,,31
17156,Thomas/020702.cha,CHI,yes.,,,31
17157,Thomas/020702.cha,CAR,oh dear.,,,31
17158,Thomas/020702.cha,CAR,he's busy isn't he?,,,31
17159,Thomas/020702.cha,CHI,got the step cab.,-1.0,subject,31
17160,Thomas/020702.cha,CAR,he has got out his cab.,,,31
17161,Thomas/020702.cha,CHI,got the step.,-1.0,subject,31
17162,Thomas/020702.cha,CHI,watch the fireworks.,0.0,,31
17163,Thomas/020702.cha,CAR,oh he's standing on the step to watch the fireworks.,,,31
17164,Thomas/020702.cha,CHI,"um watch out, Fireman Sam.",1.0,,31
17165,Thomas/020702.cha,CHI,watch.,,,31
17166,Thomas/020702.cha,CAR,"watch out, Fireman Sam.",,,31
17167,Thomas/020702.cha,CAR,are you telling him to be careful?,,,31
17168,Thomas/020702.cha,CHI,careful not fall down bump head.,-1.0,"verb, tense_aspect",31
17169,Thomas/020702.cha,CAR,no.,,,31
17170,Thomas/020702.cha,CAR,he won't fall down and bump his head he has got his Fireman Sam helmet on.,,,31
17171,Thomas/020702.cha,CHI,see the firework.,0.0,subject,31
17172,Thomas/020702.cha,CAR,did you hear that one?,,,31
17173,Thomas/020702.cha,CAR,that was another crackly one wasn't it?,,,31
17174,Thomas/020702.cha,CHI,not chip.,-1.0,determiner,31
17175,Thomas/020702.cha,CHI,not the chip pan.,-1.0,"subject, verb",31
17176,Thomas/020702.cha,CHI,no.,,,31
17177,Thomas/020702.cha,CHI,drove off now.,-1.0,subject,31
17178,Thomas/020702.cha,CAR,he has driven off now has he?,,,31
