,transcript_file,speaker_code,transcript_clean,is_grammatical,labels
14350,Thomas/021011.cha,CHI,mend your flower there.,0,
14351,Thomas/021011.cha,CAR,oh that's good.,,
14352,Thomas/021011.cha,CAR,he has put the fire out has he?,,
14353,Thomas/021011.cha,CHI,yes.,,
14354,Thomas/021011.cha,CAR,I hope this iron isn't making a nuisance with the noise.,,
14355,Thomas/021011.cha,CAR,it has gone a bit noisy now hasn't it?,,
14356,Thomas/021011.cha,CAR,can you hear it?,,
14357,Thomas/021011.cha,CHI,yes.,,
14358,Thomas/021011.cha,CAR,can you?,,
14359,Thomas/021011.cha,CAR,"is the noise annoying you, Thomas?",,
14360,Thomas/021011.cha,CAR,you've put your hands over your ears.,,
14361,Thomas/021011.cha,CAR,does that mean it is?,,
14362,Thomas/021011.cha,CHI,you a fire.,-1,verb
14363,Thomas/021011.cha,CHI,you're fire there.,-1,"verb, determiner"
14364,Thomas/021011.cha,CHI,fire on there.,-1,"determiner, verb"
14365,Thomas/021011.cha,CAR,I've got a fire there have I?,,
14366,Thomas/021011.cha,CHI,yes.,,
14367,Thomas/021011.cha,CHI,fireman has gone.,-1,determiner
14368,Thomas/021011.cha,CHI,nee nah nee nah.,0,
14369,Thomas/021011.cha,CHI,stop.,,
14370,Thomas/021011.cha,CAR,did you get wet then?,,
14371,Thomas/021011.cha,CHI,yes.,,
14372,Thomas/021011.cha,CAR,Mummy pressed the spray button on the iron didn't she?,,
14373,Thomas/021011.cha,CAR,did you get wet?,,
14374,Thomas/021011.cha,CHI,yes.,,
14375,Thomas/021011.cha,CAR,I'm terribly sorry.,,
14376,Thomas/021011.cha,CHI,nee nah.,0,
14377,Thomas/021011.cha,CHI,I put I put a fire out.,1,
14378,Thomas/021011.cha,CAR,"it does take more help to put the fire out, Thomas.",,
14379,Thomas/021011.cha,CAR,the more water there is.,,
14380,Thomas/021011.cha,CHI,it has gone out.,1,
14381,Thomas/021011.cha,CHI,help.,,
14382,Thomas/021011.cha,CHI,it's it's better.,1,
14383,Thomas/021011.cha,CAR,is it?,,
14384,Thomas/021011.cha,CAR,the fire's better.,,
14385,Thomas/021011.cha,CHI,yes.,,
14386,Thomas/021011.cha,CAR,good good good.,,
14387,Thomas/021011.cha,CHI,no smoke.,0,
14388,Thomas/021011.cha,CHI,that's the fire engines now.,1,
14389,Thomas/021011.cha,CAR,all the engines are parked up.,,
14390,Thomas/021011.cha,CAR,are they all at the fire station?,,
14391,Thomas/021011.cha,CHI,your fire on there.,-1,verb
14392,Thomas/021011.cha,CHI,got to help fireman.,-1,"subject, determiner"
14393,Thomas/021011.cha,CAR,"help help, fireman.",,
14394,Thomas/021011.cha,CAR,I've got a fire on the tablecloth.,,
14395,Thomas/021011.cha,CAR,please come quickly.,,
14396,Thomas/021011.cha,CHI,I've I've got.,-1,object
14397,Thomas/021011.cha,CAR,oh I haven't got time to talk to Grandma and Grandad.,,
14398,Thomas/021011.cha,CAR,there's a fire to put out.,,
14399,Thomas/021011.cha,CAR,quick quick quick quick quick.,,
14400,Thomas/021011.cha,CAR,help help.,,
14401,Thomas/021011.cha,CHI,I I finished my talking?,-1,tense_aspect
14402,Thomas/021011.cha,CHI,I going nee nah nee nah.,-1,present_progressive
14403,Thomas/021011.cha,CAR,you've finished your talking.,,
14404,Thomas/021011.cha,CHI,nee nah nee nah.,0,
14405,Thomas/021011.cha,CAR,you've finished your talking to Grandma and Grandad so you're going to come and rescue me now are you?,,
14406,Thomas/021011.cha,CHI,um.,,
14407,Thomas/021011.cha,CHI,it's better now.,1,
14408,Thomas/021011.cha,CHI,I rescue you.,-1,tense_aspect
14409,Thomas/021011.cha,CHI,Grandma and Grandad.,0,
14410,Thomas/021011.cha,CHI,stop.,,
14411,Thomas/021011.cha,CHI,the chips on fire.,-1,verb
14412,Thomas/021011.cha,CHI,help.,,
14413,Thomas/021011.cha,CAR,help help.,,
14414,Thomas/021011.cha,CAR,oh I'm just cooking some chips for Thomas's tea and oh the chip pan has caught on fire.,,
