id,transcript_file,speaker_code,transcript_clean,is_grammatical,labels,age
944821,4764,[CAR],boy that's a pretty picture Abe.,,,35.0
944832,4764,[CHI],it's about a cave.,1.0,,35.0
944842,4764,[CAR],it's a cave?,,,35.0
944850,4764,[CHI],yeah this gonna be a a you hafta do this first.,1.0,,35.0
944862,4764,[CHI],get those little marks off.,1.0,,35.0
944872,4764,[CAR],that's okay.,,,35.0
944881,4764,[CAR],we'll just leave them there.,,,35.0
944892,4764,[CHI],this uh be a cave for for?,-1.0,sv_agreement,35.0
944901,4764,[CHI],what you say?,-1.0,present_progressive,35.0
944909,4764,[CHI],a Thanksgiving one this uh be a cave.,-1.0,sv_agreement,35.0
944919,4764,[CAR],you're making a cave?,,,35.0
944927,4764,[CAR],you aren't going to make a Thanksgiving picture?,,,35.0
944936,4764,[CHI],this uh be a Thanksgiving picture you know that.,-1.0,sv_agreement,35.0
944945,4764,[CAR],I know it.,,,35.0
944956,4764,[CAR],and you know it.,,,35.0
944965,4764,[CHI],I have a I have a I need some more paint.,1.0,,35.0
944976,4764,[CAR],some more paint?,,,35.0
944988,4764,[CAR],of each color?,,,35.0
945002,4764,[CHI],yeah what's that?,1.0,,35.0
945009,4764,[CAR],do you like it?,,,35.0
945018,4764,[CHI],no.,,,35.0
945028,4764,[CAR],what don't you like about it?,,,35.0
945038,4764,[CHI],I like this um those two more those two more.,1.0,,35.0
945048,4764,[CAR],these colors?,,,35.0
945056,4764,[CHI],huh?,,,35.0
945064,4764,[CAR],these colors?,,,35.0
945073,4764,[CHI],no blue blue.,1.0,,35.0
945082,4764,[CHI],I like blue colors.,1.0,,35.0
945092,4764,[CHI],it's mine favorite.,-1.0,determiner,35.0
945104,4764,[CAR],I already knew that.,,,35.0
945117,4764,[CHI],I'm trying to get the dots off.,1.0,,35.0
945126,4764,[CHI],I'm trying to paint them off.,-1.0,preposition,35.0
945135,4764,[CHI],I'm trying to paint them off.,-1.0,preposition,35.0
945143,4764,[CAR],okay.,,,35.0
945152,4764,[CHI],what's that?,1.0,,35.0
945162,4764,[CAR],some more paint.,,,35.0
945171,4764,[CAR],you can use your paint brush with these too.,,,35.0
945180,4764,[CHI],and put them in these?,1.0,,35.0
945190,4764,[CAR],uhhuh.,,,35.0
945195,4764,[CHI],no I wanna use these.,1.0,,35.0
945208,4764,[CAR],okay suit yourself.,,,35.0
945220,4764,[CHI],know who got me these?,0.0,,35.0
945231,4764,[CAR],who?,,,35.0
945241,4764,[CHI],Santa_Claus.,0.0,,35.0
945250,4764,[CAR],uhuh Mommy and Daddy did.,,,35.0
945258,4764,[CHI],Santa_Claus got me these paints.,1.0,,35.0
