,transcript_file,speaker_code,transcript_clean,is_grammatical,labels,age
13526,Thomas/021011.cha,CAR,ah I've worked out why we can't do it.,,,34
13527,Thomas/021011.cha,CAR,there's a piece of paper.,,,34
13528,Thomas/021011.cha,CAR,look.,,,34
13529,Thomas/021011.cha,CAR,over the lock.,,,34
13530,Thomas/021011.cha,CAR,can you see?,,,34
13531,Thomas/021011.cha,CAR,that's better.,,,34
13532,Thomas/021011.cha,CAR,that must be so it doesn't get damaged.,,,34
13533,Thomas/021011.cha,CAR,it's a little piece of clear plastic.,,,34
13534,Thomas/021011.cha,CHI,on your head uh.,1.0,,34
13535,Thomas/021011.cha,CAR,there.,,,34
13536,Thomas/021011.cha,CAR,now the lock.,,,34
13537,Thomas/021011.cha,CAR,ah look.,,,34
13538,Thomas/021011.cha,CAR,the key goes in easily now.,,,34
13539,Thomas/021011.cha,CAR,can't unlock it.,,,34
13540,Thomas/021011.cha,CHI,I open it.,-1.0,tense_aspect,34
13541,Thomas/021011.cha,CAR,no.,,,34
13542,Thomas/021011.cha,CAR,it won't open now.,,,34
13543,Thomas/021011.cha,CAR,we'll put the key back in and you turn the key round.,,,34
13544,Thomas/021011.cha,CHI,I need see it open.,-1.0,tense_aspect,34
13545,Thomas/021011.cha,CHI,it sticks.,1.0,,34
13546,Thomas/021011.cha,CAR,it's sticking isn't it?,,,34
13547,Thomas/021011.cha,CAR,there we are.,,,34
13548,Thomas/021011.cha,CAR,oh it's open now.,,,34
13549,Thomas/021011.cha,CHI,oh yes.,1.0,,34
13550,Thomas/021011.cha,CAR,that's lovely isn't it?,,,34
13551,Thomas/021011.cha,CAR,there we are.,,,34
13552,Thomas/021011.cha,CHI,stick.,,,34
13553,Thomas/021011.cha,CAR,I don't think we need to stick it on now do you?,,,34
13554,Thomas/021011.cha,CHI,I think stick on here.,-1.0,"subject, tense_aspect",34
13555,Thomas/021011.cha,CAR,I think we'll unlock it and we'll pop the key in just inside there for now and then we know where it is.,,,34
13556,Thomas/021011.cha,CAR,I think that's a lovely present.,,,34
13557,Thomas/021011.cha,CAR,and I still can't work out whether it's black or blue.,,,34
13558,Thomas/021011.cha,CAR,what do you think?,,,34
13559,Thomas/021011.cha,CHI,just open it.,0.0,,34
13560,Thomas/021011.cha,CHI,open it first.,0.0,,34
13561,Thomas/021011.cha,CAR,you wanna open it.,,,34
13562,Thomas/021011.cha,CAR,what would you like to put inside?,,,34
13563,Thomas/021011.cha,CHI,this.,,,34
13564,Thomas/021011.cha,CAR,"well they really could do with going in the bin, Thomas.",,,34
13565,Thomas/021011.cha,CAR,don't you think?,,,34
13566,Thomas/021011.cha,CHI,no.,,,34
13567,Thomas/021011.cha,CHI,wanna be Fireman Sam.,-1.0,subject,34
13568,Thomas/021011.cha,CAR,you wanna be Fireman Sam.,,,34
13569,Thomas/021011.cha,CHI,yes.,,,34
13570,Thomas/021011.cha,CAR,okay.,,,34
13571,Thomas/021011.cha,CHI,"Mummy, you say help.",1.0,,34
13572,Thomas/021011.cha,CAR,have I got to say help?,,,34
13573,Thomas/021011.cha,CAR,help help help help.,,,34
13574,Thomas/021011.cha,CAR,"hello, Fireman Sam.",,,34
13575,Thomas/021011.cha,CHI,I Fireman Sam.,-1.0,verb,34
13576,Thomas/021011.cha,CHI,fireman.,,,34
13577,Thomas/021011.cha,CAR,you're Fireman Sam are you?,,,34
13578,Thomas/021011.cha,CHI,yes.,,,34
13579,Thomas/021011.cha,CHI,jump over my gate.,0.0,,34
13580,Thomas/021011.cha,CAR,jumping over your gate.,,,34
13581,Thomas/021011.cha,CAR,you're normally a dustbin man when you've seen the dustbin men on a Monday.,,,34
13582,Thomas/021011.cha,CHI,yes.,,,34
13583,Thomas/021011.cha,CAR,you're a fireman today are you?,,,34
13584,Thomas/021011.cha,CAR,"ah have you come to rescue me, darling?",,,34
13585,Thomas/021011.cha,CAR,ah you're lovely.,,,34
13586,Thomas/021011.cha,CAR,shall we have a drink?,,,34
13587,Thomas/021011.cha,CAR,and then we better go to Didsbury before the shops close.,,,34
13588,Thomas/021011.cha,CAR,yes.,,,34
13589,Thomas/021011.cha,CAR,okay.,,,34
13590,Thomas/021011.cha,CAR,and we'll talk a little more later on.,,,34
13591,Thomas/021011.cha,CAR,how's that?,,,34
13592,Thomas/021011.cha,CHI,wanna talk now.,-1.0,subject,34
13593,Thomas/021011.cha,CAR,you wanna talk now.,,,34
13594,Thomas/021011.cha,CHI,yes.,,,34
13595,Thomas/021011.cha,CHI,"Purdie, that Fireman Sam.",-1.0,verb,34
13596,Thomas/021011.cha,CAR,are you telling Purdie you're a fireman?,,,34
13597,Thomas/021011.cha,CHI,yes.,,,34
13598,Thomas/021011.cha,CHI,lift Purdie's tail.,0.0,,34
13599,Thomas/021011.cha,CAR,no.,,,34
13600,Thomas/021011.cha,CAR,don't.,,,34
13601,Thomas/021011.cha,CAR,leave Purdie's tail.,,,34
13602,Thomas/021011.cha,CAR,no.,,,34
13603,Thomas/021011.cha,CAR,sometimes firemen have to rescue pussycats from trees don't they?,,,34
13604,Thomas/021011.cha,CHI,um.,,,34
13605,Thomas/021011.cha,CHI,a ladder climb up.,-1.0,other,34
13606,Thomas/021011.cha,CAR,that's right.,,,34
13607,Thomas/021011.cha,CAR,climbing up a ladder.,,,34
13608,Thomas/021011.cha,CAR,oh Purdie's going now.,,,34
13609,Thomas/021011.cha,CHI,Purdie going down the ladder.,-1.0,present_progressive,34
13610,Thomas/021011.cha,CAR,she's going down the ladder.,,,34
13611,Thomas/021011.cha,CAR,I wonder where she's going to?,,,34
13612,Thomas/021011.cha,CHI,looking the kitchen for a Wendy's hat.,-1.0,"subject, present_progressive, preposition, determiner",34
13613,Thomas/021011.cha,CAR,she's looking in the kitchen for what?,,,34
13614,Thomas/021011.cha,CHI,Wend Wendy's hat.,1.0,,34
13615,Thomas/021011.cha,CAR,Wendy's hat.,,,34
13616,Thomas/021011.cha,CAR,what do you mean by Wendy's hat?,,,34
13617,Thomas/021011.cha,CHI,that's Wendy's hat there.,1.0,,34
13618,Thomas/021011.cha,CAR,ah I see.,,,34
13619,Thomas/021011.cha,CAR,it's the two yellow helmets.,,,34
13620,Thomas/021011.cha,CAR,well you're using it as a fireman's helmet but really they're they're construction site helmets aren't they?,,,34
13621,Thomas/021011.cha,CAR,for Bob the Builder and Wendy.,,,34
13622,Thomas/021011.cha,CAR,okay.,,,34
13623,Thomas/021011.cha,CHI,and dustbin men.,-1.0,determiner,34
13624,Thomas/021011.cha,CAR,and the dustbin men.,,,34
13625,Thomas/021011.cha,CHI,I'm not a fireman.,1.0,,34
13626,Thomas/021011.cha,CHI,a dustbin man.,0.0,,34
13627,Thomas/021011.cha,CAR,are you?,,,34
13628,Thomas/021011.cha,CAR,you're not a fireman.,,,34
13629,Thomas/021011.cha,CAR,you're a dustbin man.,,,34
13630,Thomas/021011.cha,CAR,I thought you would be.,,,34
13631,Thomas/021011.cha,CHI,taking out the rubbish.,1.0,,34
13632,Thomas/021011.cha,CAR,yes.,,,34
13633,Thomas/021011.cha,CAR,the dustbin man had a hat on today but his was a woollen hat.,,,34
13634,Thomas/021011.cha,CAR,it wasn't a yellow helmet was it?,,,34
13635,Thomas/021011.cha,CAR,right.,,,34
13636,Thomas/021011.cha,CAR,okay.,,,34
13637,Thomas/021011.cha,CAR,are you singing?,,,34
13638,Thomas/021011.cha,CHI,you find Thomas's face.,0.0,,34
13639,Thomas/021011.cha,CAR,find Thomas's face.,,,34
13640,Thomas/021011.cha,CAR,where is Thomas's face?,,,34
13641,Thomas/021011.cha,CHI,I not know.,-1.0,auxiliary,34
13642,Thomas/021011.cha,CAR,I don't know either.,,,34
13643,Thomas/021011.cha,CAR,is it hidden beneath that towel?,,,34
13644,Thomas/021011.cha,CAR,oh there he is.,,,34
13645,Thomas/021011.cha,CAR,"hello, sweetheart.",,,34
13646,Thomas/021011.cha,CAR,are you alright?,,,34
13647,Thomas/021011.cha,CHI,yes.,,,34
13648,Thomas/021011.cha,CAR,are you hiding?,,,34
13649,Thomas/021011.cha,CHI,yes.,,,34
13650,Thomas/021011.cha,CAR,hiding from Mummy.,,,34
13651,Thomas/021011.cha,CHI,yes.,,,34
13652,Thomas/021011.cha,CAR,why are you hiding?,,,34
13653,Thomas/021011.cha,CAR,pardon.,,,34
13654,Thomas/021011.cha,CHI,not called.,-1.0,"subject, auxiliary, object",34
13655,Thomas/021011.cha,CHI,I not called Aunty Mabel.,-1.0,auxiliary,34
13656,Thomas/021011.cha,CAR,are you not?,,,34
13657,Thomas/021011.cha,CAR,you're not called Aunty Mabel are you?,,,34
13658,Thomas/021011.cha,CAR,well we're going to change you fairly soon aren't we?,,,34
13659,Thomas/021011.cha,CHI,yes.,,,34
13660,Thomas/021011.cha,CHI,not now.,1.0,,34
13661,Thomas/021011.cha,CAR,not now.,,,34
13662,Thomas/021011.cha,CAR,alright.,,,34
13663,Thomas/021011.cha,CAR,would you like an apple?,,,34
13664,Thomas/021011.cha,CHI,uh no thanks.,1.0,,34
13665,Thomas/021011.cha,CAR,are you sure?,,,34
13666,Thomas/021011.cha,CHI,I'm sure.,1.0,,34
13667,Thomas/021011.cha,CAR,what about a strawberry?,,,34
13668,Thomas/021011.cha,CHI,oh no.,1.0,,34
13669,Thomas/021011.cha,CHI,yes.,,,34
13670,Thomas/021011.cha,CHI,yes.,,,34
13671,Thomas/021011.cha,CAR,you'd you'd like a strawberry.,,,34
13672,Thomas/021011.cha,CHI,I I need a dumper truck for a Smartie.,1.0,,34
13673,Thomas/021011.cha,CAR,no.,,,34
13674,Thomas/021011.cha,CAR,I don't think so.,,,34
13675,Thomas/021011.cha,CHI,yes.,,,34
13676,Thomas/021011.cha,CAR,"I don't think so, Thomas.",,,34
13677,Thomas/021011.cha,CHI,yes.,,,34
13678,Thomas/021011.cha,CAR,would you like a strawberry?,,,34
13679,Thomas/021011.cha,CHI,Mummy need a dumper truck and a big digger to the Smarties.,-1.0,subject,34
13680,Thomas/021011.cha,CHI,Smartie.,,,34
13681,Thomas/021011.cha,CAR,you can have a few Smarties and that's all.,,,34
13682,Thomas/021011.cha,CHI,yes.,,,34
13683,Thomas/021011.cha,CHI,I need lots.,-1.0,"preposition, object",34
13684,Thomas/021011.cha,CAR,no.,,,34
13685,Thomas/021011.cha,CHI,yes.,,,34
13686,Thomas/021011.cha,CAR,you either have a few or none at all.,,,34
13687,Thomas/021011.cha,CHI,what I going do?,-1.0,present_progressive,34
13688,Thomas/021011.cha,CAR,what are you going to do?,,,34
13689,Thomas/021011.cha,CAR,well if I were you I accept just a few.,,,34
13690,Thomas/021011.cha,CAR,and then you get some don't you?,,,34
13691,Thomas/021011.cha,CAR,now then the rest of the strawberries are for tea Thomas so just a little bit there.,,,34
13692,Thomas/021011.cha,CAR,there you are.,,,34
13693,Thomas/021011.cha,CAR,how's that?,,,34
13694,Thomas/021011.cha,CHI,thanks.,,,34
13695,Thomas/021011.cha,CAR,and would you like a dumper truck with some Smarties in?,,,34
13696,Thomas/021011.cha,CHI,yes.,,,34
13697,Thomas/021011.cha,CHI,this is a street lamp.,1.0,,34
13698,Thomas/021011.cha,CHI,"this is a street lamp, Mummy.",1.0,,34
13699,Thomas/021011.cha,CHI,this is a tunnel.,1.0,,34
13700,Thomas/021011.cha,CAR,oh I see.,,,34
