,utterance_id,transcript_raw,response_transcript_raw,is_grammatical,labels,transcript_file,child_name,transcript_clean,response_transcript_clean,prev_transcript_clean
0,0,tmy turn it off .  76502n,tyou turn it off .  78395n,False,other,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tmy turn it off . 76502n.,tyou turn it off . 78395n.,.
1,1,t&is a computer .  152985n,tit's a computer .  153670n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,t&is a computer . 152985n.,tit's a computer . 153670n.,.
2,2,ta@p &der press a@p button .  157750n,tyou want to press the button ?  158853n,False,"subject, auxiliary, determiner",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,press button . 157750n.,tyou want to press the button ? 158853n.,.
3,3,ta@p &na throw it in your eyes .  226317n,tyou're going to throw it in my eyes ?  227745n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,throw it in your eyes . 226317n.,tyou're going to throw it in my eyes ? 227745n.,.
4,4,tsomebody touch me .  249276n,tsomebody touched you ?  250345n,False,tense_aspect,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tsomebody touch me . 249276n.,tsomebody touched you ? 250345n.,.
5,5,tsomebody touch me .  249276n,tI've just touched you now because I was looking at the bruise .  252225n,False,tense_aspect,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tsomebody touch me . 249276n.,tI've just touched you now because I was looking at the bruise . 252225n.,.
6,6,tgot any tablets ?  286994n,thave I got any tablets ?  288132n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tgot any tablets ? 286994n.,thave I got any tablets ? 288132n.,.
7,7,tblackcurrant juice .  299444n,ta blackcurrant juice ?  300896n,False,determiner,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tblackcurrant juice . 299444n.,ta blackcurrant juice ? 300896n.,.
8,8,tI not need my drink .  452868n,tyou don't need it .  453413n,False,auxiliary,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tI not need my drink . 452868n.,tyou don't need it . 453413n.,.
9,9,tbig hug .  521894n,tyou want a big hug ?  522986n,False,"subject, verb, determiner",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tbig hug . 521894n.,tyou want a big hug ? 522986n.,.
10,10,tI kiss your hair .  537620n,tyou're kissing my hair ?  538781n,False,"auxiliary, other",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,tI kiss your hair . 537620n.,tyou're kissing my hair ? 538781n.,.
